,04P,06AG,06C,06G,06S,08P,08S,10-12D,10AG,10G,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,,,,SEM,,SEM,,SEM,,
,,,,,,,,,,,,,"Statistics On Rows of [TX S(V)]Sheet1!Col(""04P""):Col(""12S"")","Statistics On Rows of [TX S(V)]Sheet1!Col(""04P""):Col(""12S"")",,,,,,,,
0.25,0.010193,0.004292,0.008742,0.002513,0.00812,0.005653,0.006514,0.026589,0.066652,0.007683,0.019583,0.016221,0.0152295833333333,0.0176254051995116,0.0152295833333333,0.00508801621825712,1.33333333340868E-6,4.97468338161656E-7,0.507614125,0.00254425684329764,0.40432,0.276938333333333
0.255,0.014595,0.006606,0.012741,0.003992,0.011908,0.008498,0.00979,0.034756,0.076048,0.011315,0.026596,0.022336,0.01993175,0.0197784047850404,0.01993175,0.00570953366339223,2.99999999997524E-6,1.01503843783909E-6,0.509964375,0.00285527435091503,0.40432,0.575348291666667
0.26,0.020095,0.00979,0.017876,0.006111,0.0168,0.012292,0.014162,0.043863,0.084897,0.016034,0.034825,0.029623,0.0255306666666667,0.0216322997824731,0.0255306666666667,0.00624470705130078,5.66666666668159E-6,1.93583954590254E-6,0.5127625,0.00312332144542334,,
0.265,0.026655,0.01399,0.024182,0.00902,0.022842,0.017133,0.019754,0.053622,0.093151,0.021895,0.044084,0.037937,0.0320220833333333,0.0231346330322717,0.0320220833333333,0.00667839330439265,1.12500000001292E-5,3.721609703844E-6,0.516005416666667,0.00334105745704825,,
0.27,0.034136,0.019304,0.031607,0.012856,0.029987,0.02305,0.026615,0.063728,0.100866,0.02887,0.054117,0.047045,0.0393484166666667,0.0242563259132665,0.0393484166666667,0.00700219814778787,2.09999999999377E-5,6.81464554760339E-6,0.519663708333333,0.00350450639666774,,
0.275,0.042317,0.025764,0.040002,0.017715,0.038097,0.029993,0.034715,0.073912,0.108154,0.036837,0.064645,0.056671,0.0474018333333333,0.0249894427739299,0.0474018333333333,0.00721383075621358,3.80833333334385E-5,1.21819901427571E-5,0.523681875,0.00361300637317817,,
0.28,0.050924,0.033323,0.049144,0.023637,0.046955,0.03783,0.043937,0.083984,0.115145,0.045598,0.075415,0.066539,0.0560359166666667,0.0253507963922181,0.0560359166666667,0.00731814456060925,6.73333333333082E-5,2.12846271645854E-5,0.527984291666667,0.00366971459388692,,
0.285,0.059681,0.041851,0.058762,0.030592,0.056301,0.046372,0.054106,0.093856,0.121962,0.054906,0.086246,0.076424,0.06508825,0.0253867881570674,0.06508825,0.00732853448817144,1.1641666666673E-4,3.61271865927978E-5,0.532485916666667,0.00368233083738212,,
0.29,0.068356,0.051159,0.068579,0.038475,0.065872,0.055403,0.065013,0.10354,0.12871,0.064508,0.097051,0.086187,0.0744044166666667,0.0251747719045669,0.0744044166666667,0.00726733066794456,1.96166666666775E-4,5.97854539587024E-5,0.537104125,0.00366355806095163,,
0.295,0.076796,0.061019,0.078348,0.047121,0.07544,0.064717,0.076455,0.113122,0.13548,0.074181,0.107839,0.095781,0.08385825,0.0248186279861244,0.08385825,0.00716452077435305,3.22333333333313E-4,9.63993692087148E-5,0.541767958333333,0.00363046007178088,,
0.3,0.084947,0.071204,0.08788,0.05632,0.084842,0.07416,0.088263,0.122731,0.142349,0.083765,0.118693,0.105246,0.0933666666666667,0.0244363994086814,0.0933666666666667,0.00705418088831372,5.17583333333405E-4,1.51295839952283E-4,0.546424541666667,0.003602738364133,,
0.305,0.09284,0.081515,0.097061,0.065846,0.09399,0.083649,0.100321,0.13251,0.149391,0.093173,0.129731,0.114681,0.102892333333333,0.0241467643807738,0.102892333333333,0.00697057045764911,8.10416666666702E-4,2.31518945436348E-4,0.551040958333333,0.00360104470154273,,
0.31,0.100572,0.091812,0.105846,0.075483,0.102867,0.093181,0.112568,0.142579,0.156672,0.102392,0.14107,0.124215,0.112438083333333,0.0240498558243962,0.112438083333333,0.00694259536709341,0.00124041666666674,3.4538227521884E-4,0.555598833333333,0.00364398882115613,,
0.315,0.108273,0.102022,0.114255,0.085049,0.111513,0.102819,0.124985,0.153022,0.164253,0.111465,0.152789,0.133968,0.122034416666667,0.0242141180510962,0.122034416666667,0.00699001378749489,0.00185558333333335,5.02485857758688E-4,0.560089416666667,0.00374624982262679,,
0.32,0.116068,0.112136,0.122356,0.094408,0.119997,0.112669,0.137574,0.163875,0.17218,0.120472,0.164906,0.144032,0.13172275,0.024667600436513,0.13172275,0.00712092287614144,0.00271491666666668,7.13289227519923E-4,0.564503916666667,0.00391710605183068,,
0.325,0.124052,0.122199,0.130244,0.103473,0.128399,0.12285,0.150335,0.175118,0.18048,0.129506,0.177367,0.154455,0.141539833333333,0.0253967580781246,0.141539833333333,0.00733141255647453,0.003888,9.88390396431282E-4,0.568825916666667,0.0041599014764529,,
0.33,0.13228,0.132283,0.138029,0.112207,0.136797,0.133459,0.163248,0.186678,0.189154,0.138657,0.190054,0.165233,0.151506583333333,0.0263525819106224,0.151506583333333,0.00760733512996974,0.00545324999999997,0.00133763034553194,0.573026666666667,0.00447248273775084,,
0.335,0.140755,0.142466,0.145823,0.120609,0.145254,0.144555,0.176259,0.198437,0.198169,0.147999,0.202792,0.176313,0.16161925,0.0274605537424304,0.16161925,0.00792717904764419,0.00749691666666652,0.00176892196437135,0.577061166666667,0.00484805050600777,,
0.34,0.149445,0.152811,0.153728,0.128703,0.153822,0.156139,0.189276,0.210237,0.207464,0.157584,0.215373,0.187607,0.171849083333333,0.0286324988731284,0.171849083333333,0.00826549046598616,0.0101101666666668,0.00228723038759972,0.580869458333333,0.00527636042679294,,
0.345,0.158289,0.163349,0.161831,0.136534,0.162535,0.168155,0.202177,0.221896,0.21563,0.167436,0.227579,0.198992,0.182033583333333,0.0296381759359547,0.182033583333333,0.00855580442745648,0.013386,0.00289336213939718,0.584323791666667,0.00572458328342683,,
0.35,0.167215,0.174074,0.170194,0.144153,0.171419,0.180495,0.214814,0.23322,0.220805,0.17755,0.2392,0.21033,0.19195575,0.0302689764013645,0.19195575,0.00873790083671113,0.0174158333333333,0.00358312608103962,0.587269958333333,0.00616051345887537,,
0.355,0.176155,0.184943,0.178853,0.15162,0.180482,0.193009,0.227028,0.244019,0.226057,0.18789,0.250056,0.221474,0.201798833333333,0.0307994308944864,0.201798833333333,0.0088910298589095,0.0222858333333334,0.00434696222183731,0.5897565,0.0066189960403734,,
0.36,0.185055,0.195879,0.18781,0.158999,0.189721,0.205522,0.238664,0.254126,0.231361,0.198387,0.260008,0.232277,0.211484083333333,0.0311549816634029,0.211484083333333,0.00899366852498175,0.0280746666666667,0.005169886031704,0.591704708333333,0.00708177727834288,,
0.365,0.19388,0.206783,0.197037,0.166358,0.199114,0.217844,0.24958,0.263406,0.236687,0.208947,0.268964,0.2426,0.220933333333333,0.0312759598801419,0.220933333333333,0.00902859192798192,0.0348505,0.00603190722074676,0.593041416666667,0.00753024957436434,,
0.37,0.202619,0.217545,0.20648,0.173765,0.207798,0.229793,0.259665,0.271765,0.242007,0.21945,0.276887,0.252321,0.230007916666667,0.0311737047130731,0.230007916666667,0.00899907340386534,0.042671,0.00690942819302333,0.593668458333333,0.00795425079844433,,
0.375,0.211277,0.228054,0.216057,0.181292,0.213633,0.241201,0.26884,0.279161,0.247292,0.229765,0.28379,0.261341,0.23847525,0.0309730634998894,0.23847525,0.00894115327464426,0.0515815833333333,0.00777639837415826,0.593446833333333,0.00835877582440126,,
0.38,0.219871,0.23821,0.225674,0.189004,0.219615,0.251929,0.27707,0.2856,0.25252,0.239756,0.289729,0.269588,0.246547166666667,0.0304756976557725,0.246547166666667,0.00879757612265096,0.0616169166666667,0.00860593469423803,0.592465125,0.0087017554084445,,
0.385,0.228355,0.24793,0.234329,0.196961,0.225732,0.261876,0.284362,0.291132,0.257668,0.249298,0.2948,0.277024,0.25412225,0.0297363912621464,0.25412225,0.00858415674996412,0.0728015833333333,0.00937229295095174,0.590660333333333,0.00897822485045793,,
0.39,0.23391,0.253675,0.240332,0.205213,0.231974,0.270978,0.290762,0.295846,0.262722,0.258285,0.29912,0.283646,0.260538583333333,0.0291434168442216,0.260538583333333,0.00841297978005842,0.0851511666666667,0.01005240086341,0.587693708333333,0.00923269032173423,,
0.395,0.239636,0.25938,0.246395,0.213795,0.238333,0.279218,0.29635,0.299858,0.267674,0.26664,0.302824,0.289488,0.266632583333333,0.0282237344976249,0.266632583333333,0.00814749035487015,0.0986745,0.0106272066147139,0.583979041666667,0.00938734848479201,,
0.4,0.245538,0.265061,0.252513,0.222727,0.244807,0.286621,0.30123,0.303302,0.272524,0.274324,0.306053,0.294614,0.272442833333333,0.0269978483951906,0.272442833333333,0.00779360751925201,0.113373083333333,0.0110827884553635,0.579534875,0.00943819798730775,,
0.405,0.251622,0.270733,0.258685,0.232012,0.251401,0.293249,0.305523,0.305357,0.277281,0.281336,0.308941,0.29912,0.277938333333333,0.0254013840472355,0.277938333333333,0.00733274795873025,0.12924175,0.0114108536073051,0.574348291666667,0.00937180078301769,,
0.41,0.257895,0.27642,0.26492,0.241644,0.258124,0.299196,0.309354,0.307358,0.281968,0.287714,0.311615,0.303124,0.283277666666667,0.0235987077239925,0.283277666666667,0.00681236012848719,0.146269333333333,0.0116088772865224,0.568504166666667,0.00921061870750479,,
0.415,0.264369,0.282155,0.271233,0.251604,0.264998,0.304583,0.312849,0.309432,0.286615,0.293533,0.314184,0.306755,0.288525833333333,0.0216287830020904,0.288525833333333,0.00624369184425045,0.164435083333333,0.0116796086591626,0.562045375,0.00896165025170654,,
0.42,0.271062,0.287981,0.277654,0.261868,0.272053,0.309546,0.316123,0.311627,0.291268,0.298899,0.316735,0.309896,0.293726,0.0195067603246576,0.293726,0.00563111666222928,0.183708333333333,0.0116306030461525,0.555008833333333,0.00863085985419089,,
0.425,0.277999,0.293954,0.28422,0.272408,0.279332,0.314234,0.319283,0.314001,0.295985,0.303943,0.31889,0.312551,0.2989,0.0172153927581738,0.2989,0.00496965582156839,0.20404475,0.0114731914750477,0.547427625,0.00822142364830802,,
0.43,0.285215,0.30014,0.290986,0.2832,0.286891,0.318796,0.322424,0.316617,0.300837,0.308814,0.321302,0.315474,0.304224666666667,0.014904658596519,0.304224666666667,0.00430260432643985,0.225383333333333,0.0112211182768848,0.539420666666667,0.00776186130166234,,
0.435,0.292752,0.306614,0.298018,0.293344,0.294798,0.323381,0.325633,0.319548,0.305908,0.313647,0.324036,0.318749,0.309702333333333,0.0127143162782842,0.309702333333333,0.00367030696291471,0.2476445,0.0108898208165546,0.531028916666667,0.00728006388973467,,
0.44,0.300666,0.313467,0.305398,0.302624,0.303132,0.328129,0.328887,0.322876,0.311294,0.318079,0.327166,0.322469,0.315348916666667,0.0106465056790593,0.315348916666667,0.00307338145986689,0.270726583333333,0.0104949250163045,0.522311166666667,0.00678415323808569,,
0.445,0.309023,0.320799,0.313221,0.312413,0.311988,0.33283,0.3322,0.326691,0.317103,0.323105,0.330781,0.326736,0.3214075,0.00854360729115369,0.3214075,0.00246632698469902,0.294504833333333,0.0100515683216475,0.513451333333333,0.00625894765317326,,
0.45,0.3179,0.328718,0.321596,0.322753,0.321469,0.338131,0.336,0.331094,0.323454,0.328845,0.334981,0.331658,0.328049916666667,0.00656019174412585,0.328049916666667,0.00189376423470331,0.318830833333333,0.00957351774572847,0.504609541666667,0.00573364099021589,,
0.455,0.327386,0.337343,0.330643,0.333689,0.331685,0.344216,0.340392,0.336194,0.330475,0.335422,0.339876,0.337351,0.335389333333333,0.00484979209176365,0.335389333333333,0.00140001438484673,0.34353475,0.00907279644098057,0.495927291666667,0.00523640541291365,,
0.46,0.337575,0.346798,0.34049,0.34527,0.342755,0.351206,0.34549,0.342104,0.338299,0.342956,0.345586,0.343933,0.3435385,0.00376453837566018,0.3435385,0.00108672862228104,0.3684275,0.0085591697704328,0.4875555,0.00482294919635692,,
0.465,0.348571,0.357208,0.351271,0.357545,0.354797,0.359216,0.351419,0.348943,0.347061,0.351563,0.352237,0.351523,0.352612833333333,0.00381501885693739,0.352612833333333,0.00110130108200815,0.393305,0.00804011589883297,0.479653916666667,0.00457070849042056,,
0.47,0.360479,0.368696,0.363117,0.370567,0.367927,0.368354,0.358304,0.356826,0.356898,0.361342,0.359952,0.360234,0.362724666666667,0.00491009256223311,0.362724666666667,0.00141742163127563,0.417956083333333,0.0075208793252602,0.472384291666667,0.00446915047826791,,
0.475,0.373402,0.381381,0.376155,0.384387,0.382251,0.378715,0.366273,0.365866,0.367936,0.372382,0.36885,0.370166,0.373980333333333,0.00649584975662197,0.373980333333333,0.00187519030280053,0.442167,0.00700445675872501,0.465906666666667,0.00443982353076277,,
0.48,0.387437,0.395369,0.390498,0.399054,0.397861,0.390375,0.375447,0.376161,0.380293,0.384745,0.379038,0.381406,0.386473666666667,0.008254500473112,0.386473666666667,0.00238286903508855,0.465731333333333,0.00649206208116161,0.460371166666667,0.00443746555812508,,
0.485,0.40267,0.410747,0.406241,0.414612,0.414832,0.403382,0.385934,0.387796,0.394069,0.398472,0.390601,0.394017,0.400281083333333,0.0100634559169514,0.400281083333333,0.00290506949131491,0.488456666666667,0.00598331040469987,0.455912208333333,0.00444418994800739,,
0.49,0.419168,0.427581,0.423453,0.431097,0.433209,0.417758,0.397823,0.400833,0.409338,0.413574,0.403596,0.408034,0.415455333333333,0.0118755976564116,0.415455333333333,0.00342818975185848,0.510171666666667,0.00547663678637709,0.452641833333333,0.00445241326911779,,
0.495,0.436976,0.445908,0.442171,0.448535,0.453009,0.433489,0.411179,0.415305,0.426147,0.430031,0.41805,0.423461,0.43202175,0.0136732209687071,0.43202175,0.00394711890348613,0.53073225,0.00496987712049332,0.45064475,0.00445849801198973,,
0.5,0.45611,0.465732,0.462397,0.466936,0.474211,0.450527,0.426033,0.431218,0.444505,0.447794,0.433946,0.440267,0.449973,0.015452235525233,0.449973,0.00446067617003739,0.550027,0.00446067617003739,0.449973,0.00446067617003739,,
0.505,0.476554,0.487022,0.484092,0.486295,0.49676,0.468786,0.442382,0.448543,0.464386,0.466784,0.451228,0.458381,0.46926775,0.0172161593601371,0.46926775,0.00496987712049332,0.56797825,0.00394711890348613,0.45064475,0.00445849801198973,,
0.51,0.498253,0.509709,0.507176,0.506586,0.520559,0.488147,0.460183,0.467216,0.485719,0.486894,0.469798,0.4777,0.489828333333333,0.0189716263372117,0.489828333333333,0.00547663678637709,0.584544666666667,0.00342818975185848,0.452641833333333,0.00445241326911779,,
0.515,0.521118,0.533685,0.53153,0.52776,0.545477,0.50846,0.479355,0.487144,0.508393,0.507995,0.489515,0.498088,0.511543333333333,0.0207267952367914,0.511543333333333,0.00598331040469987,0.599718916666667,0.00290506949131491,0.455912208333333,0.00444418994800739,,
0.52,0.545022,0.558806,0.556997,0.549746,0.571344,0.529547,0.499777,0.508202,0.532257,0.529941,0.510204,0.519381,0.534268666666667,0.0224891627409265,0.534268666666667,0.00649206208116161,0.613526333333333,0.00238286903508855,0.460371166666667,0.00443746555812508,,
0.525,0.569801,0.584895,0.583384,0.572449,0.597965,0.551216,0.521296,0.530239,0.557125,0.552573,0.531662,0.541391,0.557833,0.0242641499710619,0.557833,0.00700445675872501,0.626019666666667,0.00187519030280053,0.465906666666667,0.00443982353076277,,
0.53,0.595266,0.611744,0.610474,0.59575,0.62512,0.573262,0.543729,0.553086,0.582781,0.575725,0.553667,0.563923,0.582043916666667,0.02605309021789,0.582043916666667,0.0075208793252602,0.637275333333333,0.00141742163127563,0.472384291666667,0.00446915047826791,,
0.535,0.621202,0.639124,0.638029,0.619514,0.65257,0.595482,0.566873,0.576562,0.60899,0.599231,0.57599,0.586773,0.606695,0.027851778471042,0.606695,0.00804011589883297,0.647387166666667,0.00110130108200815,0.479653916666667,0.00457070849042056,,
0.54,0.647381,0.666787,0.665795,0.643585,0.680071,0.61768,0.590512,0.600478,0.635505,0.622929,0.598404,0.609743,0.6315725,0.0296498338259945,0.6315725,0.0085591697704328,0.6564615,0.00108672862228104,0.4875555,0.00482294919635692,,
0.545,0.673569,0.694475,0.693516,0.667801,0.707376,0.639682,0.614428,0.624645,0.662078,0.646664,0.620702,0.632647,0.65646525,0.0314290888050169,0.65646525,0.00907279644098057,0.664610666666667,0.00140001438484673,0.495927291666667,0.00523640541291365,,
0.55,0.699538,0.721926,0.720936,0.691988,0.734242,0.661334,0.638406,0.648882,0.688468,0.670294,0.6427,0.655316,0.681169166666667,0.0331636382855279,0.681169166666667,0.00957351774572847,0.671950083333333,0.00189376423470331,0.504609541666667,0.00573364099021589,,
0.555,0.72507,0.748882,0.747806,0.715977,0.760438,0.682518,0.662247,0.673016,0.71445,0.693685,0.664248,0.677605,0.705495166666667,0.0348196540576866,0.705495166666667,0.0100515683216475,0.6785925,0.00246632698469902,0.513451333333333,0.00625894765317326,,
0.56,0.749966,0.775094,0.773891,0.739599,0.785748,0.703147,0.68577,0.696892,0.739822,0.716719,0.685235,0.699398,0.729273416666667,0.03635548669973,0.729273416666667,0.0104949250163045,0.684651083333333,0.00307338145986689,0.522311166666667,0.00678415323808569,,
0.565,0.774051,0.800326,0.798973,0.762697,0.809975,0.723169,0.708817,0.720369,0.764405,0.739291,0.705592,0.720601,0.7523555,0.0377234458791877,0.7523555,0.0108898208165546,0.690297666666667,0.00367030696291471,0.531028916666667,0.00728006388973467,,
0.57,0.797175,0.824363,0.822855,0.785124,0.832945,0.742563,0.731259,0.743322,0.788049,0.761304,0.725288,0.741153,0.774616666666667,0.0388710939466085,0.774616666666667,0.0112211182768848,0.695775333333333,0.00430260432643985,0.539420666666667,0.00776186130166234,,
0.575,0.819213,0.847016,0.845364,0.806748,0.854508,0.761334,0.752995,0.765645,0.81063,0.782674,0.744325,0.761011,0.79595525,0.0397443011194973,0.79595525,0.0114731914750477,0.7011,0.00496965582156839,0.547427625,0.00822142364830802,,
0.58,0.840065,0.868125,0.866355,0.827452,0.874542,0.779506,0.773949,0.787247,0.832044,0.803321,0.762736,0.780158,0.816291666666667,0.040289590797203,0.816291666666667,0.0116306030461525,0.706274,0.00563111666222928,0.555008833333333,0.00863085985419089,,
0.585,0.859649,0.887564,0.885714,0.847132,0.892953,0.79711,0.79407,0.808048,0.85221,0.823174,0.780566,0.798589,0.835564916666667,0.0404593512203822,0.835564916666667,0.0116796086591626,0.711474166666667,0.00624369184425045,0.562045375,0.00896165025170654,,
0.59,0.877904,0.905243,0.903359,0.865698,0.909678,0.81418,0.813325,0.827978,0.871061,0.842161,0.797869,0.816312,0.853730666666667,0.0402143305581782,0.853730666666667,0.0116088772865224,0.716722333333333,0.00681236012848719,0.568504166666667,0.00921061870750479,,
0.595,0.894781,0.921112,0.919243,0.883074,0.924687,0.83074,0.831696,0.846972,0.888546,0.860216,0.814696,0.833336,0.87075825,0.0395283564111662,0.87075825,0.0114108536073051,0.722061666666667,0.00733274795873025,0.574348291666667,0.00937180078301769,,
0.6,0.910246,0.935162,0.933354,0.899196,0.937982,0.846797,0.849172,0.864969,0.904624,0.877271,0.83108,0.84967,0.886626916666667,0.0383919053884547,0.886626916666667,0.0110827884553635,0.727557166666667,0.00779360751925201,0.579534875,0.00943819798730775,,
0.605,0.92428,0.947423,0.945719,0.914013,0.949597,0.862339,0.865746,0.881911,0.919268,0.89326,0.847035,0.865315,0.9013255,0.036813723598433,0.9013255,0.0106272066147139,0.733367416666667,0.00814749035487015,0.583979041666667,0.00938734848479201,,
0.61,0.936876,0.957962,0.956395,0.927489,0.959598,0.877331,0.881406,0.897739,0.932464,0.908122,0.862546,0.880258,0.914848833333333,0.0348225380669509,0.914848833333333,0.01005240086341,0.739461416666667,0.00841297978005842,0.587693708333333,0.00923269032173423,,
0.615,0.948046,0.966878,0.965473,0.939602,0.968079,0.891713,0.896135,0.912396,0.944214,0.921801,0.877571,0.894473,0.927198416666667,0.0324665751489361,0.927198416666667,0.00937229295095174,0.74587775,0.00858415674996412,0.590660333333333,0.00897822485045793,,
0.62,0.957822,0.974297,0.973068,0.950354,0.975157,0.905409,0.909907,0.925834,0.954542,0.934252,0.892039,0.907916,0.938383083333333,0.02981183227408,0.938383083333333,0.00860593469423803,0.753452833333333,0.00879757612265096,0.592465125,0.0087017554084445,,
0.625,0.966253,0.980368,0.979318,0.959765,0.980965,0.918329,0.922689,0.93801,0.963489,0.945444,0.905857,0.920534,0.948418416666667,0.0269382341678762,0.948418416666667,0.00777639837415826,0.76152475,0.00894115327464426,0.593446833333333,0.00835877582440126,,
0.63,0.973412,0.985247,0.984372,0.967877,0.98565,0.930379,0.934445,0.948901,0.97112,0.955367,0.918916,0.932262,0.957329,0.0239349613631304,0.957329,0.00690942819302333,0.769992083333333,0.00899907340386534,0.593668458333333,0.00795425079844433,,
0.635,0.979389,0.989099,0.988386,0.974758,0.989361,0.941468,0.945137,0.958501,0.977522,0.964032,0.931105,0.943036,0.9651495,0.0208951395457499,0.9651495,0.00603190722074676,0.779066666666667,0.00902859192798192,0.593041416666667,0.00753024957436434,,
0.64,0.984291,0.992083,0.991516,0.980492,0.992247,0.951523,0.954738,0.966828,0.982798,0.971475,0.942316,0.952797,0.971925333333333,0.0179090105525039,0.971925333333333,0.005169886031704,0.788515916666667,0.00899366852498175,0.591704708333333,0.00708177727834288,,
0.645,0.988236,0.994351,0.993911,0.985185,0.994449,0.960489,0.963233,0.973927,0.987065,0.977757,0.952463,0.961504,0.977714166666667,0.0150583188536094,0.977714166666667,0.00434696222183731,0.798201166666667,0.0088910298589095,0.5897565,0.0066189960403734,,
0.65,0.991351,0.996042,0.995708,0.988951,0.996097,0.968341,0.970625,0.979867,0.990449,0.98296,0.961483,0.969136,0.982584166666667,0.0124123128445716,0.982584166666667,0.00358312608103962,0.80804425,0.00873790083671113,0.587269958333333,0.00616051345887537,,
0.655,0.99376,0.997277,0.99703,0.991914,0.997306,0.975085,0.976943,0.984741,0.99308,0.987186,0.969347,0.975699,0.986614,0.0100229004602642,0.986614,0.00289336213939718,0.817966416666667,0.00855580442745648,0.584323791666667,0.00572458328342683,,
0.66,0.995585,0.998162,0.997983,0.994196,0.998175,0.980762,0.982237,0.988656,0.995083,0.990547,0.976063,0.981229,0.989889833333333,0.00792319847987633,0.989889833333333,0.00228723038759972,0.828150916666667,0.00826549046598616,0.580869458333333,0.00527636042679294,,
0.665,0.996938,0.998783,0.998656,0.995916,0.998787,0.985436,0.986583,0.991735,0.996575,0.993165,0.981675,0.985788,0.992503083333333,0.00612772543383144,0.992503083333333,0.00176892196437135,0.83838075,0.00792717904764419,0.577061166666667,0.00484805050600777,,
0.67,0.997919,0.999209,0.999122,0.997185,0.99921,0.9892,0.990071,0.994102,0.997663,0.995158,0.986259,0.989463,0.99454675,0.00463368744041446,0.99454675,0.00133763034553194,0.848493416666667,0.00760733512996974,0.573026666666667,0.00447248273775084,,
0.675,0.998615,0.999496,0.999438,0.9981,0.999495,0.992161,0.992808,0.99588,0.998438,0.996642,0.989916,0.992355,0.996112,0.00342388476866425,0.996112,9.88390396431282E-4,0.858460166666667,0.00733141255647453,0.568825916666667,0.0041599014764529,,
0.68,0.999097,0.999686,0.999647,0.998745,0.999684,0.994435,0.994904,0.997185,0.998978,0.997721,0.992763,0.994576,0.997285083333333,0.00247090636511213,0.997285083333333,7.13289227519923E-4,0.86827725,0.00712092287614144,0.564503916666667,0.00391710605183068,,
0.685,0.999424,0.999808,0.999783,0.999189,0.999806,0.996138,0.996471,0.998119,0.999345,0.998487,0.994924,0.996239,0.998144416666667,0.00174066207144575,0.998144416666667,5.02485857758688E-4,0.877965583333333,0.00699001378749489,0.560089416666667,0.00374624982262679,,
0.69,0.999641,0.999885,0.999869,0.999487,0.999883,0.997382,0.997612,0.998772,0.99959,0.999018,0.996523,0.997453,0.998759583333333,0.00119643929742554,0.998759583333333,3.4538227521884E-4,0.887561916666667,0.00694259536709341,0.555598833333333,0.00364398882115613,,
0.695,0.999781,0.999932,0.999923,0.999683,0.999931,0.998267,0.998423,0.999216,0.999749,0.999378,0.997675,0.998317,0.999189583333333,8.02005152821043E-4,0.999189583333333,2.31518945436348E-4,0.897107666666667,0.00697057045764911,0.551040958333333,0.00360104470154273,,
0.7,0.999869,0.999961,0.999955,0.999808,0.99996,0.998881,0.998983,0.999512,0.999849,0.999614,0.998483,0.998914,0.999482416666667,5.24104163542325E-4,0.999482416666667,1.51295839952283E-4,0.906633333333333,0.00705418088831372,0.546424541666667,0.003602738364133,,
0.705,0.999924,0.999978,0.999975,0.999887,0.999978,0.999295,0.999361,0.999703,0.999912,0.999767,0.999035,0.999317,0.999677666666667,3.3393721057417E-4,0.999677666666667,9.63993692087148E-5,0.91614175,0.00716452077435305,0.541767958333333,0.00363046007178088,,
0.71,0.999956,0.999988,0.999986,0.999935,0.999988,0.999567,0.999608,0.999824,0.999949,0.999862,0.999402,0.999581,0.999803833333333,2.07102887620085E-4,0.999803833333333,5.97854539587024E-5,0.925595583333333,0.00726733066794456,0.537104125,0.00366355806095163,,
0.715,0.999976,0.999993,0.999992,0.999963,0.999993,0.999741,0.999766,0.999898,0.999972,0.999921,0.999638,0.99975,0.999883583333333,1.25148245426494E-4,0.999883583333333,3.61271865927978E-5,0.93491175,0.00732853448817144,0.532485916666667,0.00368233083738212,,
0.72,0.999987,0.999997,0.999996,0.99998,0.999996,0.999849,0.999864,0.999942,0.999985,0.999955,0.999787,0.999854,0.999932666666667,7.37321113384453E-5,0.999932666666667,2.12846271645854E-5,0.943964083333333,0.00731814456060925,0.527984291666667,0.00366971459388692,,
0.725,0.999993,0.999998,0.999998,0.999989,0.999998,0.999914,0.999923,0.999968,0.999992,0.999975,0.999878,0.999917,0.999961916666667,4.21996517291171E-5,0.999961916666667,1.21819901427571E-5,0.952598166666667,0.00721383075621358,0.523681875,0.00361300637317817,,
0.73,0.999996,0.999999,0.999999,0.999994,0.999999,0.999952,0.999957,0.999983,0.999996,0.999987,0.999932,0.999954,0.999979,2.36066246480442E-5,0.999979,6.81464554760339E-6,0.960651583333333,0.00700219814778787,0.519663708333333,0.00350450639666774,,
0.735,0.999998,1,0.999999,0.999997,1,0.999974,0.999977,0.999991,0.999998,0.999993,0.999963,0.999975,0.99998875,1.28920341859983E-5,0.99998875,3.721609703844E-6,0.967977916666667,0.00667839330439265,0.516005416666667,0.00334105745704825,,
0.74,0.999999,1,1,0.999999,1,0.999987,0.999988,0.999995,0.999999,0.999997,0.999981,0.999987,0.999994333333333,6.70594489760853E-6,0.999994333333333,1.93583954590254E-6,0.974469333333333,0.00624470705130078,0.5127625,0.00312332144542334,,
0.745,1,1,1,0.999999,1,0.999993,0.999994,0.999998,0.999999,0.999998,0.99999,0.999993,0.999997,3.5161962919453E-6,0.999997,1.01503843783909E-6,0.98006825,0.00570953366339223,0.509964375,0.00285527435091503,,
0.75,1,1,1,1,1,0.999997,0.999997,0.999999,1,0.999999,0.999995,0.999997,0.999998666666667,1.72328087370569E-6,0.999998666666667,4.97468338161656E-7,0.984770416666667,0.00508801621825712,0.507614125,0.00254425684329764,,
